,0,1,2,3,4,5,6,7
42965,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_21,Farm Frenzy Free: Time management game _7_21_0,train,can it turn on my camera and/or microphone?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
42966,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_21,Farm Frenzy Free: Time management game _7_21_1,train,can it turn on my camera and/or microphone?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
42999,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_0,train,does it collect my personal information at all?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43000,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_1,train,does it collect my personal information at all?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43001,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_2,train,does it collect my personal information at all?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
43002,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_3,train,does it collect my personal information at all?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43003,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_4,train,does it collect my personal information at all?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43004,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_5,train,does it collect my personal information at all?,These IDs do not reveal any specified information about the user.,Relevant
43008,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_9,train,does it collect my personal information at all?,"On our website, we use Cookies.",Relevant
43009,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_22,Farm Frenzy Free: Time management game _7_22_10,train,does it collect my personal information at all?,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
43052,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_23,Farm Frenzy Free: Time management game _7_23_19,train,how securely is my information encrypted and stored by the app?,"We have physical, electronic, and procedural safeguards that comply with regulations to protect personal information.",Relevant
43067,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_0,train,what information is stored by this app?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43068,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_1,train,what information is stored by this app?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43069,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_2,train,what information is stored by this app?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
43070,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_3,train,what information is stored by this app?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43071,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_4,train,what information is stored by this app?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43076,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_24,Farm Frenzy Free: Time management game _7_24_9,train,what information is stored by this app?,"On our website, we use Cookies.",Relevant
43101,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_25,Farm Frenzy Free: Time management game _7_25_0,train,does this app collect location data?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43104,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_25,Farm Frenzy Free: Time management game _7_25_3,train,does this app collect location data?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43139,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_26,Farm Frenzy Free: Time management game _7_26_4,train,does it sell my information to any companies?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43140,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_26,Farm Frenzy Free: Time management game _7_26_5,train,does it sell my information to any companies?,These IDs do not reveal any specified information about the user.,Relevant
43155,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_26,Farm Frenzy Free: Time management game _7_26_20,train,does it sell my information to any companies?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43156,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_26,Farm Frenzy Free: Time management game _7_26_21,train,does it sell my information to any companies?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
43157,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_26,Farm Frenzy Free: Time management game _7_26_22,train,does it sell my information to any companies?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
43184,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_27,Farm Frenzy Free: Time management game _7_27_15,train,what does it use my information for?,We process the this information in an anonymous way for the general purposes:,Relevant
43185,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_27,Farm Frenzy Free: Time management game _7_27_16,train,what does it use my information for?,to provide you with services,Relevant
43186,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_27,Farm Frenzy Free: Time management game _7_27_17,train,what does it use my information for?,to communicate with you via email and to respond to your questions and comments,Relevant
43187,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_27,Farm Frenzy Free: Time management game _7_27_18,train,what does it use my information for?,for statistical purposes which help us to improve the quality of the services we provide,Relevant
43237,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_0,train,is there any information being uploaded by it online?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43238,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_1,train,is there any information being uploaded by it online?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43239,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_2,train,is there any information being uploaded by it online?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
43240,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_3,train,is there any information being uploaded by it online?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43241,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_4,train,is there any information being uploaded by it online?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43242,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_5,train,is there any information being uploaded by it online?,These IDs do not reveal any specified information about the user.,Relevant
43252,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_15,train,is there any information being uploaded by it online?,We process the this information in an anonymous way for the general purposes:,Relevant
43257,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_20,train,is there any information being uploaded by it online?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43262,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_29,Farm Frenzy Free: Time management game _7_29_25,train,is there any information being uploaded by it online?,"Nevertheless, your contacts information is used within your phone and never downloaded by us.",Relevant
43271,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_0,train,what information do you collect?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43272,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_1,train,what information do you collect?,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43273,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_2,train,what information do you collect?,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
43274,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_3,train,what information do you collect?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43275,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_4,train,what information do you collect?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43280,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_30,Farm Frenzy Free: Time management game _7_30_9,train,what information do you collect?,"On our website, we use Cookies.",Relevant
43327,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_31,Farm Frenzy Free: Time management game _7_31_22,train,can anything be used against me?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
43343,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_32,Farm Frenzy Free: Time management game _7_32_4,train,do you share your information with other companies?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43359,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_32,Farm Frenzy Free: Time management game _7_32_20,train,do you share your information with other companies?,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43360,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_32,Farm Frenzy Free: Time management game _7_32_21,train,do you share your information with other companies?,We have never received any requests from the state authorities of any country for providing such information.,Relevant
43361,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_32,Farm Frenzy Free: Time management game _7_32_22,train,do you share your information with other companies?,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
43413,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_6,train,what privacy settings do you have?,"Though, if you want to reset your Advertising ID, you can follow these instructions:",Relevant
43414,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_7,train,what privacy settings do you have?,for Android devices: https://support.google.com/ads/answer/2662922,Relevant
43415,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_8,train,what privacy settings do you have?,for iOS devices: https://support.apple.com/en-us/HT202074,Relevant
43416,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_9,train,what privacy settings do you have?,"On our website, we use Cookies.",Relevant
43417,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_10,train,what privacy settings do you have?,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
43418,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_11,train,what privacy settings do you have?,You can set your browser to stop accepting cookies which can lead to functionality of our site decreased.,Relevant
43435,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_28,train,what privacy settings do you have?,"By using our website and apps, you are confirming that you are agreed to our Privacy Policy.",Relevant
43436,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_34,Farm Frenzy Free: Time management game _7_34_29,train,what privacy settings do you have?,"In case you do not agree with it, please, don't use our products.",Relevant
43456,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_35,Farm Frenzy Free: Time management game _7_35_15,train,how will my personal information be used?                      ,We process the this information in an anonymous way for the general purposes:,Relevant
43457,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_35,Farm Frenzy Free: Time management game _7_35_16,train,how will my personal information be used?                      ,to provide you with services,Relevant
43458,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_35,Farm Frenzy Free: Time management game _7_35_17,train,how will my personal information be used?                      ,to communicate with you via email and to respond to your questions and comments,Relevant
43459,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_35,Farm Frenzy Free: Time management game _7_35_18,train,how will my personal information be used?                      ,for statistical purposes which help us to improve the quality of the services we provide,Relevant
43513,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_37,Farm Frenzy Free: Time management game _7_37_4,train,will you sell my information to facebook?            ,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43529,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_37,Farm Frenzy Free: Time management game _7_37_20,train,will you sell my information to facebook?            ,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43615,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_40,Farm Frenzy Free: Time management game _7_40_4,train,do you share any of my information with other companies?       ,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43631,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_40,Farm Frenzy Free: Time management game _7_40_20,train,do you share any of my information with other companies?       ,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43632,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_40,Farm Frenzy Free: Time management game _7_40_21,train,do you share any of my information with other companies?       ,We have never received any requests from the state authorities of any country for providing such information.,Relevant
43633,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_40,Farm Frenzy Free: Time management game _7_40_22,train,do you share any of my information with other companies?       ,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
43649,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_41,Farm Frenzy Free: Time management game _7_41_4,train,do you sell any of my data?                                                           ,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43665,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_41,Farm Frenzy Free: Time management game _7_41_20,train,do you sell any of my data?                                                           ,"We do not give access to our information to the third parties, we never link our information to any other databases.",Relevant
43666,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_41,Farm Frenzy Free: Time management game _7_41_21,train,do you sell any of my data?                                                           ,We have never received any requests from the state authorities of any country for providing such information.,Relevant
43667,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_41,Farm Frenzy Free: Time management game _7_41_22,train,do you sell any of my data?                                                           ,"However, we believe it is necessary to share information if it is required by law, in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person.",Relevant
43732,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_43,Farm Frenzy Free: Time management game _7_43_19,train,is my password and information kept encrypted?                          ,"We have physical, electronic, and procedural safeguards that comply with regulations to protect personal information.",Relevant
43751,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_44,Farm Frenzy Free: Time management game _7_44_4,train,are there any targeted advertisements?,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43752,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_44,Farm Frenzy Free: Time management game _7_44_5,train,are there any targeted advertisements?,These IDs do not reveal any specified information about the user.,Relevant
43800,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_45,Farm Frenzy Free: Time management game _7_45_19,train,will my data be saved permanently?                             ,"We have physical, electronic, and procedural safeguards that comply with regulations to protect personal information.",Relevant
43815,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_0,train,what sort of data will be transmitted?                                                ,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43816,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_1,train,what sort of data will be transmitted?                                                ,"We are keeping the unique ID of your device, if it is submitted by your device during installation.",Relevant
43817,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_2,train,what sort of data will be transmitted?                                                ,We can request some information directly for the purpose of registering you in the YourCraft social network or high scores system (like e-mail address).,Relevant
43818,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_3,train,what sort of data will be transmitted?                                                ,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
43819,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_4,train,what sort of data will be transmitted?                                                ,We may also automatically record your Advertising ID for advertising or analytics purposes.,Relevant
43824,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_46,Farm Frenzy Free: Time management game _7_46_9,train,what sort of data will be transmitted?                                                ,"On our website, we use Cookies.",Relevant
43855,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_6,train,will i be able to adjust my privacy settings?        ,"Though, if you want to reset your Advertising ID, you can follow these instructions:",Relevant
43856,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_7,train,will i be able to adjust my privacy settings?        ,for Android devices: https://support.google.com/ads/answer/2662922,Relevant
43857,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_8,train,will i be able to adjust my privacy settings?        ,for iOS devices: https://support.apple.com/en-us/HT202074,Relevant
43858,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_9,train,will i be able to adjust my privacy settings?        ,"On our website, we use Cookies.",Relevant
43859,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_10,train,will i be able to adjust my privacy settings?        ,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
43860,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_11,train,will i be able to adjust my privacy settings?        ,You can set your browser to stop accepting cookies which can lead to functionality of our site decreased.,Relevant
43877,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_28,train,will i be able to adjust my privacy settings?        ,"By using our website and apps, you are confirming that you are agreed to our Privacy Policy.",Relevant
43878,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_47,Farm Frenzy Free: Time management game _7_47_29,train,will i be able to adjust my privacy settings?        ,"In case you do not agree with it, please, don't use our products.",Relevant
43892,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_48,Farm Frenzy Free: Time management game _7_48_9,train,can i enable/disable data tracking by the application?                  ,"On our website, we use Cookies.",Relevant
43893,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_48,Farm Frenzy Free: Time management game _7_48_10,train,can i enable/disable data tracking by the application?                  ,"Cookies are small bits of information used, in our case, to store user's preferred language and some other settings during current browser's session.",Relevant
43894,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_48,Farm Frenzy Free: Time management game _7_48_11,train,can i enable/disable data tracking by the application?                  ,You can set your browser to stop accepting cookies which can lead to functionality of our site decreased.,Relevant
43917,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_49,Farm Frenzy Free: Time management game _7_49_0,train,will my location be tracked and collected continuously?,"We are keeping information about installation of our apps on your device (like time, date, IP-address).",Relevant
43920,../../Dataset/Train/com.herocraft.game.farmfrenzy.freemium,Farm Frenzy Free: Time management game _7,Farm Frenzy Free: Time management game _7_49,Farm Frenzy Free: Time management game _7_49_3,train,will my location be tracked and collected continuously?,"If you are purchasing the license via our web-site we will store your IP-address, country information, mobile number and the transaction information.",Relevant
